index,country,year,ccode,start,end,duration,group_visit,group_order,group_id,global_id,leader,leader_id,office,url,last_accessed,meeting,note,Continent,cap_lat,cap_lng,distance
1,Kazakhstan,1998,KAZ,July 3 1998,July 4 1998,1,0,1,,Jiang Zemin|solo:1,Jiang Zemin,1,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1998/chufang/1998hasakesitan/cf0008.html,January 9 2022,Shanghai Cooperation Organization,NA,Asia,51.1472,71.4222,3663.3535123454000
2,Russian Federation,1998,RUS,November 22 1998,November 25 1998,3,1,1,2,Jiang Zemin|2,Jiang Zemin,1,President,https://www.fmprc.gov.cn/chn/pds/ziliao/1179/t5416.htm,January 9 2022,NA,NA,Europe,55.7506,37.6175,5809.313471098180
3,Japan,1998,JPN,November 25 1998,November 30 1998,5,1,2,2,Jiang Zemin|2,Jiang Zemin,1,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1998/chufang/1998eluosi/cf0367.html,January 9 2022,NA,NA,Asia,35.687,139.7495,2101.9517286556700
4,Italy,1999,ITA,March 20 1999,March 25 1999,5,1,1,3,Jiang Zemin|3,Jiang Zemin,1,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999yidali/cf0005.html,January 9 2022,NA,NA,Europe,41.8931,12.4828,8147.144457193310
5,Switzerland,1999,CHE,March 25 1999,March 27 1999,2,1,2,3,Jiang Zemin|3,Jiang Zemin,1,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999ruishi/cf0007.html,January 9 2022,NA,NA,Europe,46.948,7.4474,8096.719712342530
6,Austria,1999,AUT,March 27 1999,March 30 1999,3,1,3,3,Jiang Zemin|3,Jiang Zemin,1,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999aodili/cf0005.html,January 9 2022,NA,NA,Europe,48.2083,16.3725,7480.373935318700
7,Mongolia,1999,MNG,July 15 1999,July 17 1999,2,0,1,,Jiang Zemin|solo:7,Jiang Zemin,1,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999mengguo/cf0010.html,January 9 2022,NA,NA,Asia,47.9214,106.9055,1171.2328680849300
8,Thailand,1999,THA,September 2 1999,September 6 1999,4,1,1,5,Jiang Zemin|5,Jiang Zemin,1,President,http://www.chinanews.com.cn//1999-9-10/26/378.html,January 9 2022,NA,NA,Asia,13.7525,100.4942,3289.2821459423700
9,Australia,1999,AUS,September 6 1999,September 11 1999,5,1,2,5,Jiang Zemin|5,Jiang Zemin,1,President,http://www.chinanews.com.cn//1999-9-10/26/389.html,January 9 2022,NA,NA,Oceania,-35.2931,149.1269,8977.611306861190
10,New Zealand,1999,NZL,September 11 1999,September 16 1999,5,1,3,5,Jiang Zemin|5,Jiang Zemin,1,President,http://www.chinanews.com.cn//1999-9-17/26/1150.html,January 9 2022,Asia-Pacific Economic Cooperation,NA,Oceania,-41.2889,174.7772,10754.829316528500
