city,index,,,,,
New York,100,,,,,
Los Angeles,76.6,,,,,
Chicago,69.9,,,,,
San Francisco,88.4,,,,,
Dallas,62.2,,,,,
Washington DC,79.2,,,,,
Houston,55.8,,,,,
Boston,81.4,,,,,
Atlanta,64.7,,,,,
Philadelphia,61.2,,,,,
Seattle,75.4,,,,,
Miami,74.7,,,,,
San Jose,81.8,,,,,
Phoenix,55.9,,,,,
Detroit,54.6,,,,,
San Diego,82.6,,,,,
Denver,67.7,,,,,
Minneapolis,57.3,,,,,
Baltimore,62.9,,,,,
Riverside,58.8,,,,,
Charlotte,69.1,,,,,
Austin,66.5,,,,,
Tampa,66.5,,,,,
St. Louis,52.2,,,,,
Portland,66.6,,,,,
Orlando,61.2,,,,,
Nashville,65.0,,,,,
Cincinnati,49.4,,,,,
Indianapolis,54.4,,,,,
Pittsburgh,57.8,,,,,
