city,measure,price,category
New York,Inexpensive Restaurant Meal,30,Dining Out
New York,Mid-range Restaurant Meal for 2,130,Dining Out
New York,McMeal at McDonalds,12,Dining Out
New York,Regular Cappuccino,5.72,Dining Out
New York,Milk (1 gallon),5.65,Grocery
New York,Eggs (12),5.22,Grocery
New York,Local Cheese (1 lb),7.64,Meat & Cheese
New York,Chicken Fillets (1 lb),6.93,Meat & Cheese
New York,Beef Round (1 lb),8.99,Meat & Cheese
New York,Mid-Range Wine,20,Alcohol & Cigarette
New York,Domestic Beer (0.5 L),2.53,Alcohol & Cigarette
New York,Imported Beer (12 oz),3.86,Alcohol & Cigarette
New York,Marlboro (20 Pack),17,Alcohol & Cigarette
New York,Monthly Transit Pass,132,Monthly Cost
New York,Gasoline (13.2 gallons),50.82,Monthly Cost
New York,Volkswagen Golf 1.4,35000,Own Property
New York,Toyota Corolla Sedan,28356.86,Own Property
New York,Internet (60 Mbps or More),71.82,Monthly Cost
New York,Monthly Gym Fee (1 Adult),147.95,Monthly Cost
New York,Levis 501 Jeans,72.17,Clothing
New York,Summer Dress in a Chain Store,48.24,Clothing
New York,Nike Running Shoes,101.23,Clothing
New York,Men Leather Business Shoes,169.09,Clothing
New York,1B Apt in City Centre,4379.49,Rent
New York,1B Apt Outside of Centre,2939.81,Rent
New York,3B Apt in City Centre,9009.44,Rent
New York,3B Apt in Outside of Centre,4710,Rent
New York,750 sq ft Apt in City Centre,1327177.5,Own Property
New York,750 sq ft Apt Outside of Centre,916672.5,Own Property
Los Angeles,Inexpensive Restaurant Meal,25,Dining Out
Los Angeles,Mid-range Restaurant Meal for 2,120,Dining Out
Los Angeles,McMeal at McDonalds,12,Dining Out
Los Angeles,Regular Cappuccino,5.33,Dining Out
Los Angeles,Milk (1 gallon),4.68,Grocery
Los Angeles,Eggs (12),4.99,Grocery
Los Angeles,Local Cheese (1 lb),6.23,Meat & Cheese
Los Angeles,Chicken Fillets (1 lb),7.54,Meat & Cheese
Los Angeles,Beef Round (1 lb),8.4,Meat & Cheese
Los Angeles,Mid-Range Wine,14.99,Alcohol & Cigarette
Los Angeles,Domestic Beer (0.5 L),2.6,Alcohol & Cigarette
Los Angeles,Imported Beer (12 oz),3.88,Alcohol & Cigarette
Los Angeles,Marlboro (20 Pack),12,Alcohol & Cigarette
Los Angeles,Monthly Transit Pass,83.48,Monthly Cost
Los Angeles,Gasoline (13.2 gallons),70.22,Monthly Cost
Los Angeles,Volkswagen Golf 1.4,30000,Own Property
