state,score,income,rank
Utah,72.94,83670,1
Minnesota,67.52,78461,2
Hawaii,66.16,80729,3
California,63.82,77358,4
North Dakota,63.25,63657,5
South Dakota,63.08,69787,6
Idaho,62.51,66499,7
Maryland,62.21,94384,8
New Jersey,61.93,85239,9
Massachusetts,61.8,86725,10
Connecticut,60.71,79043,11
Vermont,60.1,66902,12
Washington,59.92,81083,13
Nebraska,59.54,72024,14
Iowa,59.21,68469,15
Wisconsin,58.66,67094,16
Virginia,57.45,81947,17
New York,57.19,68304,18
New Hampshire,56.61,88235,19
Maine,54.04,63440,20
Rhode Island,54.03,80012,21
Colorado,53.99,82611,22
Nevada,53.4,60956,23
Pennsylvania,53.18,70117,24
Illinois,53.12,73753,25
Delaware,52.77,69132,26
Arizona,52.76,66628,27
North Carolina,51.72,60266,28
Missouri,51.46,61901,29
Michigan,51.27,63829,30
Kansas,51.01,72815,31
Montana,51.01,56442,32
Oregon,51,76554,33
Florida,50.55,57435,34
Georgia,50.36,58952,35
South Carolina,49.93,60097,36
Indiana,49.08,66360,37
Texas,49,68093,38
Ohio,47.84,60110,39
Wyoming,47.22,65108,40
New Mexico,47.02,50822,41
Alaska,44.24,74476,42
Alabama,42.99,54393,43
Tennessee,42.85,54665,44
Kentucky,41.05,56525,45
Oklahoma,40.43,52341,46
Mississippi,39.9,44966,47
Louisiana,38.88,50935,48
Arkansas,37.47,50540,49
West Virginia,34.05,51615,50
